line,file,message
114,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/client_channel.cc,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
119,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/client_channel.cc,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
154,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/client_channel.cc,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
158,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/client_channel.cc,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
248,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/client_channel.cc,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
251,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/client_channel.cc,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
466,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/client_channel.cc,Found ')' without opening '(' for trailing return type ' -> work_serializer_)...'
540,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/client_channel.cc,Found ')' without opening '(' for trailing return type ' -> work_serializer_)...'
551,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/client_channel.cc,Found ')' without opening '(' for trailing return type ' -> work_serializer_)...'
567,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/client_channel.cc,Found ')' without opening '(' for trailing return type ' -> work_serializer_)...'
635,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/client_channel.cc,Found ')' without opening '(' for trailing return type ' -> chand_->work_serializer_)...'
838,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/client_channel.cc,Found ')' without opening '(' for trailing return type ' -> work_serializer_)...'
868,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/client_channel.cc,Found ')' without opening '(' for trailing return type ' -> work_serializer_)...'
897,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/client_channel.cc,Found ')' without opening '(' for trailing return type ' -> work_serializer_)...'
915,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/client_channel.cc,Found ')' without opening '(' for trailing return type ' -> work_serializer_)...'
933,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/client_channel.cc,Found ')' without opening '(' for trailing return type ' -> work_serializer_)...'
950,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/client_channel.cc,Found ')' without opening '(' for trailing return type ' -> work_serializer_)...'
207,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/client_channel.h,Found ')' without opening '(' for trailing return type ' -> work_serializer_)...'
209,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/client_channel.h,Found ')' without opening '(' for trailing return type ' -> work_serializer_)...'
379,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/client_channel.h,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
384,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/client_channel.h,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
439,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/client_channel.h,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
538,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/client_channel.h,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
541,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/client_channel.h,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
91,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/lb_policy/health_check_client_internal.h,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
95,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/lb_policy/health_check_client_internal.h,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
100,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/lb_policy/health_check_client_internal.h,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
109,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/lb_policy/health_check_client_internal.h,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
117,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/lb_policy/health_check_client_internal.h,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
304,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/lb_policy/rls/rls.cc,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
305,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/lb_policy/rls/rls.cc,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
503,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/lb_policy/rls/rls.cc,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
511,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/lb_policy/rls/rls.cc,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
516,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/lb_policy/rls/rls.cc,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
519,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/lb_policy/rls/rls.cc,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
522,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/lb_policy/rls/rls.cc,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
526,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/lb_policy/rls/rls.cc,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
536,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/lb_policy/rls/rls.cc,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
427,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/lb_policy/rls/rls.cc,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
430,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/lb_policy/rls/rls.cc,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
435,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/lb_policy/rls/rls.cc,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
438,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/lb_policy/rls/rls.cc,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
442,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/lb_policy/rls/rls.cc,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
449,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/lb_policy/rls/rls.cc,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
452,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/lb_policy/rls/rls.cc,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
562,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/lb_policy/rls/rls.cc,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
566,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/lb_policy/rls/rls.cc,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
607,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/lb_policy/rls/rls.cc,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
610,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/lb_policy/rls/rls.cc,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
47,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/resolver/dns/c_ares/grpc_ares_ev_driver.h,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
50,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/resolver/dns/c_ares/grpc_ares_ev_driver.h,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
53,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/resolver/dns/c_ares/grpc_ares_ev_driver.h,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
57,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/resolver/dns/c_ares/grpc_ares_ev_driver.h,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
60,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/resolver/dns/c_ares/grpc_ares_ev_driver.h,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
75,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/resolver/dns/c_ares/grpc_ares_ev_driver.h,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
78,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/resolver/dns/c_ares/grpc_ares_ev_driver.h,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
79,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/subchannel_stream_client.h,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
82,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/subchannel_stream_client.h,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
86,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/subchannel_stream_client.h,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
89,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/subchannel_stream_client.h,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
93,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/subchannel_stream_client.h,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
97,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/subchannel_stream_client.h,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
124,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/subchannel_stream_client.h,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
133,C:/work-Telia/appwatch/grpc/src/core/ext/filters/client_channel/subchannel_stream_client.h,Found ')' without opening '(' for trailing return type ' -> mu_)...'
166,C:/work-Telia/appwatch/grpc/src/core/ext/transport/chttp2/server/chttp2_server.cc,Found ')' without opening '(' for trailing return type ' -> mu_)...'
80,C:/work-Telia/appwatch/grpc/src/core/ext/xds/xds_client.cc,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
89,C:/work-Telia/appwatch/grpc/src/core/ext/xds/xds_client.cc,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
123,C:/work-Telia/appwatch/grpc/src/core/ext/xds/xds_client.cc,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
126,C:/work-Telia/appwatch/grpc/src/core/ext/xds/xds_client.cc,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
311,C:/work-Telia/appwatch/grpc/src/core/ext/xds/xds_client.cc,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
322,C:/work-Telia/appwatch/grpc/src/core/ext/xds/xds_client.cc,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
148,C:/work-Telia/appwatch/grpc/src/core/ext/xds/xds_client.cc,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
153,C:/work-Telia/appwatch/grpc/src/core/ext/xds/xds_client.cc,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
352,C:/work-Telia/appwatch/grpc/src/core/ext/xds/xds_client.cc,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
391,C:/work-Telia/appwatch/grpc/src/core/ext/xds/xds_client.cc,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
395,C:/work-Telia/appwatch/grpc/src/core/ext/xds/xds_client.cc,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
397,C:/work-Telia/appwatch/grpc/src/core/ext/xds/xds_client.cc,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
195,C:/work-Telia/appwatch/grpc/src/core/ext/xds/xds_client.h,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
203,C:/work-Telia/appwatch/grpc/src/core/ext/xds/xds_client.h,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
207,C:/work-Telia/appwatch/grpc/src/core/ext/xds/xds_client.h,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
215,C:/work-Telia/appwatch/grpc/src/core/ext/xds/xds_client.h,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
215,C:/work-Telia/appwatch/grpc/src/core/ext/xds/xds_server_config_fetcher.cc,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
238,C:/work-Telia/appwatch/grpc/src/core/lib/event_engine/posix_engine/posix_engine_listener.h,"include file src/core/lib/gprpp/crash.h not found, perhaps you forgot to add its directory to INCLUDE_PATH?"
107,C:/work-Telia/appwatch/grpc/src/core/lib/event_engine/posix_engine/wakeup_fd_eventfd.cc,"include file src/core/lib/gprpp/crash.h not found, perhaps you forgot to add its directory to INCLUDE_PATH?"
959,C:/work-Telia/appwatch/grpc/src/core/lib/security/credentials/jwt/jwt_verifier.cc,"Reached end of file while still inside a (nested) comment. Nesting level 2 (probable line reference: 730, 730)"
230,C:/work-Telia/appwatch/grpc/src/core/lib/security/transport/secure_endpoint.cc,Found ')' without opening '(' for trailing return type ' -> read_mu)...'
376,C:/work-Telia/appwatch/grpc/src/core/lib/security/transport/secure_endpoint.cc,Found ')' without opening '(' for trailing return type ' -> write_mu)...'
249,C:/work-Telia/appwatch/grpc/src/core/lib/surface/server.h,Found ')' without opening '(' for trailing return type ' -> mu_global_)...'
55,C:/work-Telia/appwatch/grpc/src/objective-c/GRPCClient/private/GRPCCore/GRPCReachabilityFlagNames.xmacro.h,end of file with unbalanced grouping commands
27,C:/work-Telia/appwatch/grpc/src/objective-c/ProtoRPC/ProtoMethod.h,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
44,C:/work-Telia/appwatch/grpc/src/objective-c/ProtoRPC/ProtoRPCLegacy.h,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
38,C:/work-Telia/appwatch/grpc/src/objective-c/ProtoRPC/ProtoService.h,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
44,C:/work-Telia/appwatch/grpc/src/objective-c/ProtoRPC/ProtoService.h,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
49,C:/work-Telia/appwatch/grpc/src/objective-c/ProtoRPC/ProtoService.h,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
42,C:/work-Telia/appwatch/grpc/src/cpp/server/backend_metric_recorder.h,Internal inconsistency: scope for class grpc::experimental::ServerMetricRecorder::BackendMetricDataState not found!
66,C:/work-Telia/appwatch/grpc/src/cpp/server/orca/orca_service.cc,Internal inconsistency: scope for class grpc::experimental::OrcaService::Reactor not found!
70,C:/work-Telia/appwatch/grpc/src/cpp/server/server_context.cc,Internal inconsistency: scope for class grpc::ServerContextBase::CompletionOp not found!
60,C:/work-Telia/appwatch/grpc/src/core/lib/promise/detail/basic_join.h,"Detected potential recursive class relation between class grpc_core::promise_detail::Joint and base class grpc_core::promise_detail::Joint< Traits, kRemaining - 1, Fs... >!"
60,C:/work-Telia/appwatch/grpc/src/core/lib/promise/detail/basic_join.h,"Detected potential recursive class relation between class grpc_core::promise_detail::Joint and base class Joint< Traits, kRemaining - 1, Fs... >!"
60,C:/work-Telia/appwatch/grpc/src/core/lib/promise/detail/basic_join.h,"Detected potential recursive class relation between class grpc_core::promise_detail::Joint and base class grpc_core::promise_detail::Joint< Traits, kRemaining - 1, Fs... >!"
60,C:/work-Telia/appwatch/grpc/src/core/lib/promise/detail/basic_join.h,"Detected potential recursive class relation between class grpc_core::promise_detail::Joint and base class Joint< Traits, kRemaining - 1, Fs... >!"
